shipment_id|supplier_id|supplier_name|region|product|category|unit_cost|quantity|delivery_days|status
S001|SUP01|  alpha foods  |north|Rice|Food|25.50|100|3|Delivered
S002|SUP02|Beta Supplies|South|Laptop|Electronics|800|5|7|Delivered
S003|SUP03|Gamma Traders|East|Desk|Furniture|150|10|12|Delayed
S004|SUP01|Alpha Foods|North|Rice|Food|25.50|100|3|Delivered
S005|SUP04|Delta Logistics|West|Monitor|Electronics||8|5|Delivered
S006|SUP05|Omega Goods|North|Chair|Furniture|75|-3|4|Delivered
S007|SUP06|Prime Source|South|Keyboard|Electronics|45|20||Pending
S008|SUP07|Nova Foods|East|Beans|Food|18.75|200|2|Delivered
S009|SUP08|Skyline Ltd|West|Table|Furniture|abc|6|6|Delivered
S010|SUP09|Rapid Parts|North|Mouse|Electronics|20|50|1|Cancelled
S011|SUP10|Fresh Farm|South|Maize|Food|30|0|4|Delivered
S012|SUP11|Urban Office|East|Cabinet|Furniture|220|3|9|Delayed
S013|SUP02|Beta Supplies|South|Laptop|Electronics|800|5|7|Delivered
S014|SUP12|QuickTrade|Central|Printer|Electronics|300|4|5|Delivered
S015|SUP13|Harvest Co|West|Wheat|Food|22|150|11|Delayed
BADROW|SUP14|Broken Supplier|North|Rice
S016|SUP15|Future Goods|East|Scanner|Electronics|180|2|4|Unknown
S017||No Supplier Id|South|Desk|Furniture|120|4|5|Delivered
S018|SUP16|Clean Foods|North||Food|10|100|2|Delivered
S019|SUP17|Edge Supplies|West|Cable|Electronics|5|500|1|Delivered|EXTRA
S020|SUP18|Mountain Goods|East|Chair|Furniture|90|15|6|Delivered
